id,Geographic Area Name,Total,Male,Female,White,Black_AA,Am_Ind,Asian,Pac/HA,other,2ormore,hisp/lat,white_nohisp,<18yrs,<5yrs,5-17yrs,18-64yrs,18-34yrs,35-64yrs,>60yrs,>65yrs,Total_>25,">25,noHSdeg",">25,Hsdeg",">25,col/ASD",">25,BA+"
37111,"McDowell County, North Carolina",44137,21947,22190,40735,1285,130,415,0,976,596,2722,38848,9044,2001,7043,26298,7999,18299,11954,8795,32064,4980,10348,11053,5683
37113,"Macon County, North Carolina",34514,16799,17715,32310,570,240,299,0,879,216,2383,30772,6281,1670,4611,18494,5754,12740,12440,9739,26071,2784,8078,8995,6214
37115,"Madison County, North Carolina",20421,9807,10614,19763,81,85,103,0,81,308,476,19496,3810,988,2822,12094,3734,8360,6160,4517,15091,1921,4726,4106,4338
37117,"Martin County, North Carolina",22599,10628,11971,12313,9522,54,139,77,237,257,911,11748,4558,1223,3335,13054,4094,8960,6666,4987,16375,2687,5562,5442,2684
37119,"Mecklenburg County, North Carolina",1058840,508473,550367,569706,333498,4116,62264,536,59445,29275,141120,495604,253680,71713,181967,690151,269775,420376,168862,115009,716605,68631,121177,200324,326473
37121,"Mitchell County, North Carolina",14559,7261,7298,14099,16,21,19,0,62,342,828,13437,2680,664,2016,8306,2539,5767,4688,3573,11008,1604,3642,3493,2269
37123,"Montgomery County, North Carolina",26114,12634,13480,19998,4344,35,393,0,728,616,4052,16756,5978,1670,4308,14884,4848,10036,7186,5252,17975,3615,6131,5309,2920
37125,"Moore County, North Carolina",95974,46277,49697,79064,11772,790,1238,68,1378,1664,6535,74093,20468,5586,14882,53265,17330,35935,28977,22241,69104,6248,14901,21914,26041
37127,"Nash County, North Carolina",92009,43705,48304,48240,35935,522,816,54,3796,2646,6447,46232,20628,5228,15400,55070,18436,36634,22912,16311,63564,9011,21290,19845,13418
37129,"New Hanover County, North Carolina",221075,105650,115425,179427,30382,463,2954,199,2821,4829,12410,170479,42183,11147,31036,140419,54633,85786,52748,38473,153982,10112,32632,48202,63036
37131,"Northampton County, North Carolina",19065,8995,10070,7638,10716,136,28,0,110,437,428,7464,3491,849,2642,10833,3267,7566,6576,4741,14238,2680,5513,3991,2054
37133,"Onslow County, North Carolina",174605,89116,85489,130487,24485,704,3421,157,2799,12552,20204,117356,46854,17011,29843,110533,59868,50665,24461,17218,101890,8712,30547,39283,23348
37135,"Orange County, North Carolina",133298,64008,69290,100708,15101,790,10362,9,2915,3413,11423,92654,28206,6541,21665,85907,33632,52275,28055,19185,89050,6362,12129,17151,53408
37137,"Pamlico County, North Carolina",11977,5770,6207,9311,2018,21,68,3,159,397,447,9093,1927,412,1515,6453,1876,4577,4858,3597,9296,1052,2900,3503,1841
37139,"Pasquotank County, North Carolina",36935,17699,19236,22133,12875,27,468,0,205,1227,2050,20755,8599,2596,6003,22082,7445,14637,8757,6254,26097,3241,8361,8656,5839
